busco_id,bin_id,overlap_percentage
8at7147,OU343114.1_bin_15205,100.0
225at7147,OU343116.1_bin_6321,100.0
284at7147,OU343115.1_bin_30047,100.0
421at7147,OU343116.1_bin_2595,100.0
445at7147,OU343118.1_bin_9618,7.844058243306717
445at7147,OU343118.1_bin_9619,92.15594175669328
452at7147,OU343115.1_bin_24710,12.793365096170813
452at7147,OU343115.1_bin_24711,35.29204164460914
452at7147,OU343115.1_bin_24712,35.29204164460914
452at7147,OU343115.1_bin_24713,16.622551614610906
511at7147,OU343116.1_bin_14513,100.0
525at7147,OU343117.1_bin_12574,79.82195845697329
525at7147,OU343117.1_bin_12575,20.178041543026705
540at7147,OU343115.1_bin_7282,61.59420289855072
540at7147,OU343115.1_bin_7283,38.405797101449274
836at7147,OU343117.1_bin_9613,26.848453067645515
836at7147,OU343117.1_bin_9614,73.15154693235448
841at7147,OU343115.1_bin_4212,59.388646288209614
841at7147,OU343115.1_bin_4213,40.61135371179039
908at7147,OU343116.1_bin_2238,60.723860589812325
908at7147,OU343116.1_bin_2239,39.27613941018767
962at7147,OU343117.1_bin_9243,36.30776794493609
962at7147,OU343117.1_bin_9244,49.164208456243855
962at7147,OU343117.1_bin_9245,14.528023598820058
994at7147,OU343118.1_bin_2603,99.2583436341162
994at7147,OU343118.1_bin_2604,0.7416563658838072
1004at7147,OU343118.1_bin_9642,90.03831417624522
1004at7147,OU343118.1_bin_9643,9.961685823754788
1049at7147,OU343119.1_bin_1951,5.419619754753065
1049at7147,OU343119.1_bin_1952,5.624929688378896
1049at7147,OU343119.1_bin_1953,5.624929688378896
1049at7147,OU343119.1_bin_1954,5.624929688378896
1049at7147,OU343119.1_bin_1955,5.624929688378896
1049at7147,OU343119.1_bin_1956,5.624929688378896
1049at7147,OU343119.1_bin_1957,5.624929688378896
1049at7147,OU343119.1_bin_1958,5.624929688378896
1049at7147,OU343119.1_bin_1959,5.624929688378896
1049at7147,OU343119.1_bin_1960,5.624929688378896
1049at7147,OU343119.1_bin_1961,5.624929688378896
1049at7147,OU343119.1_bin_1962,5.624929688378896
1049at7147,OU343119.1_bin_1963,5.624929688378896
1049at7147,OU343119.1_bin_1964,5.624929688378896
1049at7147,OU343119.1_bin_1965,5.624929688378896
1049at7147,OU343119.1_bin_1966,5.624929688378896
1049at7147,OU343119.1_bin_1967,5.624929688378896
1049at7147,OU343119.1_bin_1968,4.58150523118461
1055at7147,OU343117.1_bin_18175,76.41317608784058
1055at7147,OU343117.1_bin_18176,23.586823912159414
1072at7147,OU343114.1_bin_39413,22.77877161598092
1072at7147,OU343114.1_bin_39414,77.22122838401908
1078at7147,OU343118.1_bin_8501,100.0
1123at7147,OU343115.1_bin_18682,57.237936772046595
1123at7147,OU343115.1_bin_18683,42.76206322795341
1200at7147,OU343114.1_bin_38358,100.0
1247at7147,OU343114.1_bin_6058,57.46739587715608
1247at7147,OU343114.1_bin_6059,42.53260412284392
1323at7147,OU343116.1_bin_26994,14.166666666666666
1323at7147,OU343116.1_bin_26995,40.65040650406504
1323at7147,OU343116.1_bin_26996,40.65040650406504
1323at7147,OU343116.1_bin_26997,4.532520325203252
1690at7147,OU343117.1_bin_19230,14.501789631682255
