busco_id,bin_id,overlap_percentage
8at7147,NC_068937.1_bin_300,100.0
225at7147,NC_068939.1_bin_678,100.0
284at7147,NC_068939.1_bin_248,100.0
421at7147,NC_068939.1_bin_625,100.0
445at7147,NC_068939.1_bin_511,100.0
452at7147,NC_068939.1_bin_498,100.0
525at7147,NC_068938.1_bin_33,100.0
540at7147,NC_068939.1_bin_508,100.0
836at7147,NC_068938.1_bin_22,100.0
841at7147,NC_068939.1_bin_157,100.0
908at7147,NC_068939.1_bin_895,100.0
962at7147,NC_068938.1_bin_505,100.0
994at7147,NC_068938.1_bin_765,100.0
1004at7147,NC_068939.1_bin_519,100.0
1055at7147,NC_068938.1_bin_273,100.0
1072at7147,NC_068937.1_bin_476,100.0
1078at7147,NC_068938.1_bin_934,100.0
1123at7147,NC_068939.1_bin_242,100.0
1142at7147,NC_068939.1_bin_222,100.0
1200at7147,NC_068937.1_bin_568,100.0
1247at7147,NC_068937.1_bin_603,100.0
1323at7147,NC_068938.1_bin_1005,100.0
1690at7147,NC_068938.1_bin_308,100.0
1854at7147,NC_068937.1_bin_174,100.0
1907at7147,NC_068937.1_bin_251,100.0
1914at7147,NC_068939.1_bin_310,100.0
1984at7147,NC_068939.1_bin_226,100.0
2041at7147,NC_068938.1_bin_1086,100.0
2067at7147,NC_068938.1_bin_316,72.46258561827669
2067at7147,NC_068938.1_bin_317,27.53741438172332
2304at7147,NC_068938.1_bin_809,100.0
2306at7147,NC_068939.1_bin_187,100.0
2339at7147,NC_068937.1_bin_84,100.0
2552at7147,NC_068937.1_bin_68,64.21477523521895
2552at7147,NC_068937.1_bin_69,35.78522476478104
2609at7147,NC_068938.1_bin_230,100.0
2610at7147,NC_068938.1_bin_72,100.0
2635at7147,NC_068939.1_bin_378,100.0
2697at7147,NC_068939.1_bin_926,100.0
2709at7147,NC_068938.1_bin_193,100.0
2881at7147,NC_068939.1_bin_25,100.0
2908at7147,NC_068939.1_bin_332,100.0
2969at7147,NC_068937.1_bin_256,100.0
3120at7147,NC_068938.1_bin_298,100.0
3219at7147,NC_068939.1_bin_596,100.0
3282at7147,NC_068939.1_bin_559,100.0
3308at7147,NC_068939.1_bin_547,100.0
3333at7147,NC_068938.1_bin_751,100.0
3410at7147,NC_068938.1_bin_849,100.0
3413at7147,NC_068937.1_bin_83,100.0
3474at7147,NC_068939.1_bin_781,100.0
3577at7147,NC_068939.1_bin_90,100.0
3788at7147,NC_068939.1_bin_231,100.0
3828at7147,NC_068938.1_bin_1057,100.0
3874at7147,NC_068938.1_bin_823,100.0
4069at7147,NC_068939.1_bin_463,100.0
4073at7147,NC_068937.1_bin_378,100.0
4095at7147,NC_068939.1_bin_499,100.0
4164at7147,NC_068937.1_bin_528,100.0
4211at7147,NC_068938.1_bin_859,100.0
4218at7147,NC_068939.1_bin_697,100.0
4274at7147,NC_068938.1_bin_751,100.0
4353at7147,NC_068938.1_bin_817,31.776875483372002
4353at7147,NC_068938.1_bin_818,68.22312451662799
4421at7147,NC_068938.1_bin_1023,100.0
4470at7147,NC_068939.1_bin_66,100.0
4511at7147,NC_068939.1_bin_741,100.0
4573at7147,NC_068937.1_bin_672,100.0
4667at7147,NC_068938.1_bin_319,100.0
4829at7147,NC_068939.1_bin_120,100.0
4932at7147,NC_068937.1_bin_134,40.31060094530722
4932at7147,NC_068937.1_bin_135,59.68939905469277
5213at7147,NC_068937.1_bin_311,100.0
5225at7147,NC_068938.1_bin_110,100.0
5241at7147,NC_068939.1_bin_863,100.0
5263at7147,NC_068937.1_bin_636,100.0
5433at7147,NC_068937.1_bin_645,100.0
5488at7147,NC_068937.1_bin_63,100.0
5711at7147,NW_026292842.1_bin_0,100.0
5723at7147,NC_068939.1_bin_844,100.0
5768at7147,NC_068939.1_bin_305,100.0
5780at7147,NC_068938.1_bin_924,100.0
5845at7147,NC_068938.1_bin_520,100.0
5858at7147,NC_068937.1_bin_688,100.0
5978at7147,NC_068938.1_bin_76,100.0
6130at7147,NC_068938.1_bin_1096,100.0
6240at7147,NC_068938.1_bin_544,100.0
6256at7147,NC_068939.1_bin_240,100.0
6718at7147,NC_068938.1_bin_542,100.0
6736at7147,NC_068938.1_bin_780,100.0
6974at7147,NC_068937.1_bin_670,100.0
7054at7147,NC_068939.1_bin_820,100.0
7326at7147,NC_068939.1_bin_229,100.0
7353at7147,NC_068938.1_bin_780,100.0
7355at7147,NC_068937.1_bin_641,100.0
7470at7147,NC_068939.1_bin_911,100.0
7527at7147,NC_068937.1_bin_608,100.0
7563at7147,NC_068937.1_bin_20,100.0
7677at7147,NC_068937.1_bin_503,100.0
7798at7147,NC_068939.1_bin_197,100.0
7971at7147,NC_068938.1_bin_1056,2.8564683663833805
7971at7147,NC_068938.1_bin_1057,97.14353163361662
8005at7147,NC_068938.1_bin_1087,100.0
8016at7147,NC_068939.1_bin_529,100.0
8037at7147,NC_068937.1_bin_594,100.0
8079at7147,NC_068939.1_bin_923,100.0
8161at7147,NC_068937.1_bin_671,100.0
8234at7147,NC_068938.1_bin_78,100.0
8348at7147,NC_068938.1_bin_207,100.0
8364at7147,NC_068939.1_bin_533,100.0
8456at7147,NC_068937.1_bin_16,100.0
8734at7147,NC_068937.1_bin_314,100.0
8741at7147,NC_068938.1_bin_361,100.0
