busco_id,bin_id,overlap_percentage
8at7147,OY284468.1_bin_17714,20.240963855421686
8at7147,OY284468.1_bin_17715,79.75903614457832
225at7147,OY284470.1_bin_3418,43.46863468634686
225at7147,OY284470.1_bin_3419,56.53136531365314
284at7147,OY284469.1_bin_15387,94.83944954128441
284at7147,OY284469.1_bin_15388,5.160550458715597
421at7147,OY284470.1_bin_5551,100.0
445at7147,OY284472.1_bin_16469,77.1356783919598
445at7147,OY284472.1_bin_16470,22.8643216080402
452at7147,OY284469.1_bin_28274,28.079197737207508
452at7147,OY284469.1_bin_28275,51.42710208279764
452at7147,OY284469.1_bin_28276,20.493700179994857
511at7147,OY284470.1_bin_6506,80.87378640776699
511at7147,OY284470.1_bin_6507,19.12621359223301
525at7147,OY284471.1_bin_16253,100.0
540at7147,OY284469.1_bin_1034,39.815762538382806
540at7147,OY284469.1_bin_1035,60.184237461617194
836at7147,OY284471.1_bin_11388,41.011419249592166
836at7147,OY284471.1_bin_11389,58.98858075040783
841at7147,OY284469.1_bin_29747,86.50865998176846
841at7147,OY284469.1_bin_29748,13.49134001823154
908at7147,OY284470.1_bin_23650,45.69620253164557
908at7147,OY284470.1_bin_23651,54.30379746835443
962at7147,OY284471.1_bin_11623,29.32042750554547
962at7147,OY284471.1_bin_11624,40.33071183706392
962at7147,OY284471.1_bin_11625,30.348860657390603
994at7147,OY284472.1_bin_1683,100.0
1004at7147,OY284472.1_bin_2749,60.25267249757046
1004at7147,OY284472.1_bin_2750,39.74732750242954
1049at7147,OY284473.1_bin_689,53.166869671132766
1049at7147,OY284473.1_bin_690,46.833130328867234
1055at7147,OY284471.1_bin_20254,100.0
1072at7147,OY284468.1_bin_29385,75.09603072983356
1072at7147,OY284468.1_bin_29386,24.903969270166453
1078at7147,OY284472.1_bin_17120,100.0
1123at7147,OY284469.1_bin_3740,36.30057803468208
1123at7147,OY284469.1_bin_3741,63.69942196531792
1142at7147,OY284469.1_bin_6281,18.47894406033941
1142at7147,OY284469.1_bin_6282,81.52105593966058
1200at7147,OY284468.1_bin_28762,78.53333333333333
1200at7147,OY284468.1_bin_28763,21.46666666666667
1247at7147,OY284468.1_bin_32180,56.43322475570033
1247at7147,OY284468.1_bin_32181,43.56677524429968
1323at7147,OY284470.1_bin_10174,27.39463601532567
1323at7147,OY284470.1_bin_10175,42.57130693912303
1323at7147,OY284470.1_bin_10176,30.0340570455513
1690at7147,OY284471.1_bin_14564,13.516312791299844
1690at7147,OY284471.1_bin_14565,25.89331952356292
1690at7147,OY284471.1_bin_14566,25.89331952356292
1690at7147,OY284471.1_bin_14567,25.89331952356292
1690at7147,OY284471.1_bin_14568,8.803728638011393
1854at7147,OY284468.1_bin_28882,100.0
1907at7147,OY284468.1_bin_29201,100.0
1914at7147,OY284469.1_bin_1628,78.62116991643454
1914at7147,OY284469.1_bin_1629,21.378830083565457
1984at7147,OY284469.1_bin_15927,97.12230215827337
1984at7147,OY284469.1_bin_15928,2.877697841726619
2041at7147,OY284472.1_bin_2442,100.0
2067at7147,OY284469.1_bin_14524,8.899010247875974
2067at7147,OY284469.1_bin_14525,17.51773670841727
2067at7147,OY284469.1_bin_14526,17.51773670841727
2067at7147,OY284469.1_bin_14527,17.51773670841727
2067at7147,OY284469.1_bin_14528,17.51773670841727
2067at7147,OY284469.1_bin_14529,17.51773670841727
2067at7147,OY284469.1_bin_14530,3.5123062100376634
2304at7147,OY284470.1_bin_4702,100.0
2306at7147,OY284469.1_bin_5644,64.13580246913581
2306at7147,OY284469.1_bin_5645,35.8641975308642
2332at7147,OY284469.1_bin_395,100.0
2339at7147,OY284472.1_bin_16690,1.1747430249632893
2339at7147,OY284472.1_bin_16691,98.82525697503671
2552at7147,OY284468.1_bin_31217,2.6672961170777767
2552at7147,OY284468.1_bin_31218,11.802195208308746
2552at7147,OY284468.1_bin_31219,11.802195208308746
2552at7147,OY284468.1_bin_31220,11.802195208308746
2552at7147,OY284468.1_bin_31221,11.802195208308746
