busco_id,chromosome,query_bin,query_overlap_percentage,expected_position,position_deviation,standard_deviations,position_specific_bit_score,overall_match_bit_score,e_value
59881at7147,OU343114.1,OU343114.1_bin_381,59.61196682464455,843.6450449784227,462.6450449784227,0.9973682000073684,1.748503470971984,1.6868975814820055,415.1664163701619
59897at7147,OU343114.1,OU343114.1_bin_771,100.0,563.760943564432,207.23905643556805,0.9993316148536385,1.0021307269201971,1.0021307269201971,696.4706174567367
59908at7147,OU343114.1,OU343114.1_bin_43,100.0,489.9134426788312,446.9134426788312,1.3211864834666887,1.586382854506682,1.586382854506682,464.5424261677788
59927at7147,OU343114.1,OU343114.1_bin_482,100.0,464.27205841705654,17.72794158294346,0.824914243026975,1.5863828545066543,1.5863828545066543,464.5424261677877
59991at7147,OU343114.1,OU343114.1_bin_788,100.0,863.8780469123741,75.87804691237409,0.28774656739867305,1.586382854506682,1.586382854506682,464.5424261677788
60157at7147,OU343114.1,OU343114.1_bin_898,100.0,765.9745797310193,132.02542026898072,0.23303965965741263,1.586382854506682,1.586382854506682,464.5424261677788
60174at7147,OU343114.1,OU343114.1_bin_739,84.40953761881747,903.7867302839018,164.78673028390176,0.49523494039193994,1.8308967586994298,2.317836169454492,392.12033435031395
60271at7147,OU343114.1,OU343114.1_bin_397,100.0,589.1489298218371,192.1489298218371,0.9539362794594158,1.586382854506682,1.586382854506682,464.5424261677788
60303at7147,OU343114.1,OU343114.1_bin_313,100.0,595.1430196492672,282.1430196492672,0.6894822301990906,1.586382854506682,1.586382854506682,464.5424261677788
60315at7147,OU343114.1,OU343114.1_bin_439,100.0,546.1865240872268,107.18652408722676,0.5004661344188683,1.5863828545066816,3.123513116816666,464.54242616777896
60338at7147,OU343114.1,OU343114.1_bin_955,100.0,745.5421261302545,209.45787386974553,0.6343404814283803,1.5863828545067131,2.1168020405320997,464.5424261677688
60501at7147,OU343114.1,OU343114.1_bin_337,100.0,263.13704420773337,73.86295579226663,0.5956785078249859,1.5863828545066816,1.5863828545066816,464.54242616777896
60504at7147,OU343114.1,OU343114.1_bin_620,100.0,790.6169490215647,170.61694902156466,0.5540259408840436,1.5863828545066816,1.5863828545066816,464.54242616777896
